,price,vehicleType,yearOfRegistration,gearbox,powerPS,kilometer,fuelType,brand,notRepairedDamage
0,4450,limousine,2003,manual,150,150000,diesel,bmw,no
1,13299,suv,2005,manual,163,150000,diesel,volvo,no
2,3200,bus,2003,manual,101,150000,diesel,volkswagen,no
3,4500,small car,2006,manual,86,60000,petrol,seat,no
4,18750,suv,2008,automatic,185,150000,diesel,volvo,no
5,988,limousine,1995,manual,90,150000,petrol,volkswagen,no
6,1399,coupe,1997,manual,136,150000,petrol,mercedes_benz,no
7,4680,station wagon,2005,manual,122,150000,petrol,opel,no
8,8340,limousine,2005,automatic,140,125000,diesel,skoda,no
9,1870,limousine,2001,manual,82,150000,petrol,mercedes_benz,no
10,2500,coupe,2001,manual,105,125000,petrol,opel,no
11,990,small car,2001,manual,68,150000,petrol,toyota,no
12,3000,coupe,2016,manual,116,150000,petrol,bmw,yes
13,2200,limousine,2003,manual,83,125000,petrol,opel,no
14,1600,station wagon,1999,manual,140,150000,diesel,volvo,no
15,1300,suv,1993,manual,101,150000,diesel,nissan,yes
16,600,small car,1998,manual,75,150000,petrol,volkswagen,yes
17,680,limousine,1992,manual,88,150000,petrol,mazda,no
18,1199,limousine,1998,manual,96,5000,petrol,mitsubishi,no
19,1599,cabrio,1995,manual,75,150000,petrol,volkswagen,no
20,1000,small car,1996,manual,75,150000,petrol,volkswagen,no
21,1100,limousine,1999,manual,75,150000,petrol,mitsubishi,no
22,3999,cabrio,1991,manual,133,150000,petrol,audi,no
23,1290,small car,2003,manual,60,150000,petrol,fiat,no
24,3900,cabrio,2006,manual,88,125000,petrol,nissan,no
25,700,station wagon,2000,manual,155,150000,petrol,alfa_romeo,yes
26,2250,station wagon,2005,manual,175,125000,petrol,saab,yes
27,7800,coupe,2006,automatic,143,125000,petrol,mercedes_benz,no
28,12250,limousine,2011,manual,122,50000,petrol,bmw,no
29,3750,coupe,2000,manual,150,150000,petrol,bmw,no
30,2800,small car,2004,manual,87,80000,petrol,toyota,no
31,950,limousine,1999,manual,102,150000,diesel,mercedes_benz,no
32,18990,limousine,2009,automatic,156,80000,petrol,mercedes_benz,no
33,9300,coupe,1979,manual,63,125000,petrol,opel,no
34,2400,limousine,2003,manual,105,150000,petrol,volkswagen,no
35,1500,small car,1999,manual,75,150000,petrol,peugeot,no
36,4599,limousine,1998,manual,193,150000,petrol,bmw,no
37,19000,suv,2010,automatic,152,90000,diesel,land_rover,no
38,475,small car,1996,manual,50,150000,petrol,volkswagen,no
39,3400,station wagon,2002,automatic,163,150000,diesel,audi,no
40,550,limousine,1997,manual,75,150000,petrol,volkswagen,no
41,17499,cabrio,2007,manual,184,60000,petrol,mercedes_benz,no
42,6190,limousine,2004,automatic,163,150000,petrol,mercedes_benz,no
43,11300,limousine,2006,manual,200,90000,petrol,volkswagen,no
44,17500,cabrio,2011,automatic,160,50000,petrol,volkswagen,no
45,600,limousine,1998,manual,136,150000,petrol,mercedes_benz,no
46,850,small car,2000,manual,60,150000,petrol,peugeot,no
47,2500,station wagon,2005,manual,125,150000,petrol,subaru,no
48,6199,coupe,2016,manual,116,90000,petrol,mini,no
49,3500,station wagon,2002,automatic,198,150000,diesel,bmw,yes
50,1350,limousine,1999,manual,101,150000,petrol,volkswagen,yes
51,1950,station wagon,2002,manual,75,150000,petrol,volkswagen,no
52,1400,coupe,2017,manual,122,150000,petrol,mercedes_benz,no
53,2000,station wagon,1999,manual,101,150000,petrol,opel,no
54,3700,coupe,2016,manual,140,150000,diesel,mercedes_benz,no
55,2200,coupe,2001,manual,192,150000,petrol,opel,no
56,3499,coupe,1999,manual,170,150000,petrol,bmw,no
57,4800,limousine,2006,manual,102,150000,petrol,volkswagen,no
58,1350,bus,2003,manual,128,150000,diesel,citroen,no
59,15300,cabrio,2010,manual,140,125000,diesel,audi,no
60,1150,station wagon,1991,manual,90,150000,petrol,volkswagen,no
61,22800,suv,2011,automatic,241,150000,diesel,jeep,no
62,2600,coupe,2017,manual,90,150000,petrol,volkswagen,no
63,1550,bus,1998,automatic,158,150000,petrol,chrysler,no
64,2500,limousine,2003,manual,64,150000,petrol,volkswagen,no
65,3150,coupe,2017,manual,106,150000,petrol,volkswagen,no
66,9450,small car,2010,manual,120,50000,petrol,ford,no
67,2550,small car,2006,manual,88,150000,petrol,renault,no
68,11800,station wagon,2010,automatic,140,150000,diesel,audi,no
69,3980,small car,2009,manual,64,150000,petrol,volkswagen,no
70,4900,cabrio,1997,automatic,193,150000,petrol,mercedes_benz,no
71,7300,small car,2009,automatic,95,60000,petrol,alfa_romeo,no
72,7400,cabrio,2007,manual,150,125000,diesel,opel,no
73,3900,station wagon,2001,manual,193,150000,petrol,volkswagen,no
74,1990,small car,2003,manual,65,125000,petrol,nissan,no
75,500,limousine,1997,manual,90,150000,petrol,volkswagen,no
76,8700,coupe,2016,manual,110,150000,diesel,volkswagen,no
77,3900,station wagon,2003,automatic,148,150000,petrol,mercedes_benz,no
78,22900,cabrio,1972,automatic,200,150000,petrol,mercedes_benz,no
79,5500,suv,2004,manual,204,150000,diesel,bmw,no
80,16000,suv,2007,automatic,235,150000,diesel,bmw,no
81,4600,small car,2009,manual,76,20000,petrol,renault,yes
82,1200,limousine,1994,manual,136,100000,petrol,mercedes_benz,no
83,7000,limousine,2004,automatic,150,150000,diesel,bmw,no
84,15000,station wagon,2008,manual,143,150000,diesel,bmw,no
85,1590,small car,2001,manual,60,150000,petrol,skoda,no
86,13999,station wagon,2010,manual,184,150000,diesel,bmw,no
87,2200,coupe,1997,manual,141,5000,petrol,mitsubishi,no
88,4400,others,2009,manual,104,90000,petrol,dacia,no
89,9000,cabrio,2011,manual,69,30000,petrol,fiat,no
90,450,small car,2000,automatic,75,150000,petrol,fiat,no
91,1650,bus,2003,manual,90,150000,diesel,citroen,no
92,6599,suv,2006,automatic,218,150000,diesel,jeep,no
93,7499,limousine,1997,automatic,231,125000,petrol,mercedes_benz,no
94,4000,coupe,2000,manual,193,150000,petrol,bmw,no
95,3000,limousine,2002,manual,131,150000,diesel,volkswagen,no
96,1799,small car,1999,manual,60,150000,petrol,peugeot,no
97,12950,bus,2009,manual,175,125000,diesel,ford,no
98,33000,bus,2013,manual,103,40000,diesel,volkswagen,no
99,21500,limousine,2010,automatic,231,70000,petrol,mercedes_benz,no
100,1000,small car,2003,manual,58,150000,petrol,opel,no
101,3500,bus,2003,manual,116,150000,petrol,volkswagen,no
102,5490,limousine,2006,automatic,105,125000,diesel,volkswagen,no
103,27950,limousine,2009,automatic,231,150000,diesel,mercedes_benz,no
104,3699,cabrio,2004,manual,101,125000,petrol,opel,no
105,6200,suv,2009,manual,136,150000,petrol,chevrolet,no
106,1150,small car,1998,manual,60,150000,diesel,volkswagen,no
107,4000,limousine,2007,manual,140,150000,diesel,volkswagen,no
108,750,bus,1999,automatic,139,125000,petrol,renault,no
109,150,station wagon,1998,manual,115,150000,petrol,ford,yes
110,3500,small car,2003,manual,116,150000,petrol,bmw,no
111,7800,station wagon,2011,manual,160,80000,petrol,audi,yes
112,1000,small car,1997,manual,60,150000,petrol,volkswagen,no
113,3199,limousine,2008,manual,69,150000,petrol,ford,no
114,100,station wagon,1996,automatic,170,150000,petrol,opel,yes
115,500,limousine,1995,automatic,150,150000,petrol,audi,yes
116,1950,small car,2000,automatic,54,125000,petrol,smart,no
117,3950,coupe,2018,manual,143,150000,petrol,bmw,no
118,12600,coupe,2012,manual,122,50000,petrol,volkswagen,no
119,800,bus,1994,manual,60,150000,diesel,volkswagen,no
120,13500,limousine,2012,manual,105,150000,diesel,volkswagen,no
121,4950,bus,2004,manual,105,150000,diesel,volkswagen,no
122,2600,coupe,2006,manual,109,150000,petrol,citroen,no
123,5400,limousine,2002,manual,150,150000,diesel,bmw,no
124,18999,bus,2007,manual,131,150000,diesel,volkswagen,no
125,3990,coupe,2016,manual,54,150000,petrol,volkswagen,no
126,8000,limousine,2007,manual,141,125000,petrol,nissan,no
127,199,small car,2001,manual,60,150000,petrol,ford,yes
128,17777,station wagon,2012,manual,184,40000,petrol,mini,no
129,4950,bus,2003,manual,115,150000,diesel,volkswagen,no
130,3100,suv,2003,manual,124,150000,petrol,ford,no
131,7777,small car,1972,manual,18,10000,petrol,fiat,no
132,3990,station wagon,2004,manual,143,150000,petrol,bmw,no
133,1480,station wagon,1996,manual,75,150000,petrol,opel,no
134,600,limousine,1989,manual,75,150000,petrol,audi,no
135,2399,limousine,2005,manual,111,150000,petrol,renault,no
136,8200,limousine,2004,manual,250,70000,petrol,saab,no
137,14999,cabrio,2008,manual,177,150000,diesel,bmw,no
138,750,small car,1999,manual,122,150000,petrol,ford,no
139,15900,limousine,2011,automatic,116,40000,petrol,mercedes_benz,no
140,1650,coupe,2017,manual,101,150000,petrol,volkswagen,no
141,7500,limousine,2011,automatic,160,40000,diesel,opel,no
142,600,small car,1999,manual,75,150000,petrol,renault,no
143,41900,limousine,2014,automatic,310,40000,petrol,audi,no
144,5900,limousine,1999,automatic,184,150000,diesel,bmw,no
145,2500,small car,2006,manual,86,150000,diesel,renault,no
146,1750,station wagon,2004,manual,101,150000,diesel,volkswagen,no
147,7500,station wagon,2004,manual,180,150000,petrol,audi,no
148,15600,limousine,2015,manual,86,20000,petrol,volkswagen,no
149,11300,bus,2012,manual,111,70000,diesel,peugeot,no
150,3000,bus,2002,automatic,107,90000,petrol,renault,no
151,8500,limousine,2005,manual,218,150000,petrol,bmw,yes
152,1050,small car,2001,manual,80,150000,petrol,fiat,no
153,850,limousine,1998,manual,75,150000,petrol,renault,no
154,1000,small car,1999,manual,50,150000,petrol,renault,no
155,1290,limousine,1996,manual,125,150000,petrol,audi,no
156,1999,station wagon,1998,manual,125,150000,petrol,volkswagen,no
157,1500,coupe,1995,manual,75,150000,petrol,opel,no
158,5600,small car,2006,manual,160,150000,diesel,seat,no
